datetime,long_liquidations,short_liquidations,long_liquidations_usd,short_liquidations_usd
2022-12-01 07:00:00,0.0,0.0,0.0,0.0
2022-12-01 06:00:00,0.0,0.0,0.0,0.0
2022-12-01 05:00:00,0.0,0.0,0.0,0.0
2022-12-01 04:00:00,0.0,0.0,0.0,0.0
2022-12-01 03:00:00,0.0,0.0,0.0,0.0
2022-12-01 02:00:00,0.0,0.0,0.0,0.0
2022-12-01 01:00:00,0.0,0.0,0.0,0.0
2022-12-01 00:00:00,0.0,0.0,0.0,0.0
2022-11-30 23:00:00,0.0,0.0,0.0,0.0
2022-11-30 22:00:00,0.0,0.0,0.0,0.0
2022-11-30 21:00:00,0.0,0.0,0.0,0.0
2022-11-30 20:00:00,0.0,0.0,0.0,0.0
2022-11-30 19:00:00,0.0,0.0,0.0,0.0
2022-11-30 18:00:00,0.0,0.0,0.0,0.0
2022-11-30 17:00:00,0.0,0.0,0.0,0.0
2022-11-30 16:00:00,0.0,0.0,0.0,0.0
2022-11-30 15:00:00,0.0,0.0,0.0,0.0
2022-11-30 14:00:00,0.0,0.0,0.0,0.0
2022-11-30 13:00:00,0.0,0.0,0.0,0.0
2022-11-30 12:00:00,0.0,0.0,0.0,0.0
2022-11-30 11:00:00,0.0,0.0,0.0,0.0
2022-11-30 10:00:00,0.0,0.0,0.0,0.0
2022-11-30 09:00:00,0.0,0.0,0.0,0.0
2022-11-30 08:00:00,0.0,0.0,0.0,0.0
2022-11-30 07:00:00,0.0,0.0,0.0,0.0
2022-11-30 06:00:00,0.0,0.0,0.0,0.0
2022-11-30 05:00:00,0.0,0.0,0.0,0.0
2022-11-30 04:00:00,0.0,0.0,0.0,0.0
2022-11-30 03:00:00,0.0,0.0,0.0,0.0
2022-11-30 02:00:00,0.0,0.0,0.0,0.0
2022-11-30 01:00:00,0.0,0.0,0.0,0.0
2022-11-30 00:00:00,0.0,0.0,0.0,0.0
2022-11-29 23:00:00,0.0,0.0,0.0,0.0
2022-11-29 22:00:00,0.0,0.0,0.0,0.0
2022-11-29 21:00:00,0.0,0.0,0.0,0.0
