datetime,funding_rates
2024-04-25 01:00:00,-0.00151915
2024-04-25 00:00:00,-0.00046935
2024-04-24 23:00:00,-0.00044017
2024-04-24 22:00:00,-0.00087152
2024-04-24 21:00:00,-0.001874
2024-04-24 20:00:00,-0.00320148
2024-04-24 19:00:00,-0.0033929
2024-04-24 18:00:00,-0.00343805
2024-04-24 17:00:00,-0.00347623
2024-04-24 16:00:00,-0.00318248
2024-04-24 15:00:00,-0.00286555
2024-04-24 14:00:00,-0.00200785
2024-04-24 13:00:00,-0.00088808
2024-04-24 12:00:00,0.00098175
2024-04-24 11:00:00,0.00118723
2024-04-24 10:00:00,0.00119355
2024-04-24 09:00:00,0.00125445
2024-04-24 08:00:00,0.0011378
2024-04-24 07:00:00,0.00026002
2024-04-24 06:00:00,-0.00060672
2024-04-24 05:00:00,-0.00090967
2024-04-24 04:00:00,-0.00181815
2024-04-24 03:00:00,-0.00226435
2024-04-24 02:00:00,-0.0024093
2024-04-24 01:00:00,-0.00243957
2024-04-24 00:00:00,-0.00231808
2024-04-23 23:00:00,-0.00173645
2024-04-23 22:00:00,-0.0013355
2024-04-23 21:00:00,-0.00119508
2024-04-23 20:00:00,-0.00103502
2024-04-23 19:00:00,-0.00147965
2024-04-23 18:00:00,-0.00145733
2024-04-23 17:00:00,-0.00150403
2024-04-23 16:00:00,-0.0018062
2024-04-23 15:00:00,-0.00194445
2024-04-23 14:00:00,-0.00191327
2024-04-23 13:00:00,-0.00199242
2024-04-23 12:00:00,-0.00224392
2024-04-23 11:00:00,-0.00196493
2024-04-23 10:00:00,-0.0021923
2024-04-23 09:00:00,-0.00231143
2024-04-23 08:00:00,-0.00237335
2024-04-23 07:00:00,-0.00236453
2024-04-23 06:00:00,-0.0025015
2024-04-23 05:00:00,-0.00277123
2024-04-23 04:00:00,-0.00255552
2024-04-23 03:00:00,-0.00215572
2024-04-23 02:00:00,-0.00184797
2024-04-23 01:00:00,-0.00174258
2024-04-23 00:00:00,-0.00155367
2024-04-22 23:00:00,-0.0013967
2024-04-22 22:00:00,-0.00189167
2024-04-22 21:00:00,-0.00175937
2024-04-22 20:00:00,-0.0016563
2024-04-22 19:00:00,-0.00150205
2024-04-22 18:00:00,-0.00149918
2024-04-22 17:00:00,-0.00140038
2024-04-22 16:00:00,-0.00099202
2024-04-22 15:00:00,-0.000805
2024-04-22 14:00:00,-0.00015193
2024-04-22 13:00:00,0.00015537
2024-04-22 12:00:00,0.00027773
2024-04-22 11:00:00,0.00039178
2024-04-22 10:00:00,0.00043018
2024-04-22 09:00:00,0.00043902
2024-04-22 08:00:00,0.00030773
2024-04-22 07:00:00,0.00027228
2024-04-22 06:00:00,0.0002562
2024-04-22 05:00:00,1.792e-05
2024-04-22 04:00:00,-6.67e-06
2024-04-22 03:00:00,-0.00013998
2024-04-22 02:00:00,-0.0001802
2024-04-22 01:00:00,-0.00020898
2024-04-22 00:00:00,-0.00044803
2024-04-21 23:00:00,-0.00088193
2024-04-21 22:00:00,-0.0008908
2024-04-21 21:00:00,-0.00064697
2024-04-21 20:00:00,-0.00053368
2024-04-21 19:00:00,-0.00017232
2024-04-21 18:00:00,-0.0001555
2024-04-21 17:00:00,-0.00016018
2024-04-21 16:00:00,-0.00017483
2024-04-21 15:00:00,0.00016308
2024-04-21 14:00:00,0.00012787
2024-04-21 13:00:00,-6.62e-06
2024-04-21 12:00:00,-0.00013828
2024-04-21 11:00:00,-0.00048755
2024-04-21 10:00:00,-0.00049772
2024-04-21 09:00:00,-0.00050493
2024-04-21 08:00:00,-0.00054825
2024-04-21 07:00:00,-0.00124232
2024-04-21 06:00:00,-0.00138278
2024-04-21 05:00:00,-0.00140947
2024-04-21 04:00:00,-0.0021591
2024-04-21 03:00:00,-0.00255948
2024-04-21 02:00:00,-0.00318867
2024-04-21 01:00:00,-0.00418968
2024-04-21 00:00:00,-0.00424943
2024-04-20 23:00:00,-0.00366703
2024-04-20 22:00:00,-0.00458495
2024-04-20 21:00:00,-0.0055172
2024-04-20 20:00:00,-0.0051379
2024-04-20 19:00:00,-0.00492378
2024-04-20 18:00:00,-0.0053465
2024-04-20 17:00:00,-0.00639583
2024-04-20 16:00:00,-0.00779242
2024-04-20 15:00:00,-0.00888702
2024-04-20 14:00:00,-0.01046347
2024-04-20 13:00:00,-0.0135311
2024-04-20 12:00:00,-0.01622697
2024-04-20 11:00:00,-0.01978615
2024-04-20 10:00:00,-0.0220241
2024-04-20 09:00:00,-0.0232195
2024-04-20 08:00:00,-0.02401688
2024-04-20 07:00:00,-0.02344178
2024-04-20 06:00:00,-0.02235827
2024-04-20 05:00:00,-0.01898863
2024-04-20 04:00:00,-0.0169656
2024-04-20 03:00:00,-0.0144699
2024-04-20 02:00:00,-0.01195633
2024-04-20 01:00:00,-0.00988672
2024-04-20 00:00:00,-0.00907688
2024-04-19 23:00:00,-0.00944892
2024-04-19 22:00:00,-0.00845507
2024-04-19 21:00:00,-0.01076987
2024-04-19 20:00:00,-0.01261735
2024-04-19 19:00:00,-0.01314223
2024-04-19 18:00:00,-0.01353877
2024-04-19 17:00:00,-0.01302428
2024-04-19 16:00:00,-0.01350757
2024-04-19 15:00:00,-0.01336563
2024-04-19 14:00:00,-0.0126684
2024-04-19 13:00:00,-0.01000878
2024-04-19 12:00:00,-0.007359
2024-04-19 11:00:00,-0.00598622
2024-04-19 10:00:00,-0.00535792
2024-04-19 09:00:00,-0.0064989
2024-04-19 08:00:00,-0.0056405
2024-04-19 07:00:00,-0.00801175
2024-04-19 06:00:00,-0.01093633
2024-04-19 05:00:00,-0.0125038
2024-04-19 04:00:00,-0.01400163
2024-04-19 03:00:00,-0.01682407
2024-04-19 02:00:00,-0.01823378
2024-04-19 01:00:00,-0.01837323
2024-04-19 00:00:00,-0.01853475
2024-04-18 23:00:00,-0.01790957
2024-04-18 22:00:00,-0.01911658
2024-04-18 21:00:00,-0.01879475
2024-04-18 20:00:00,-0.01894338
2024-04-18 19:00:00,-0.01867753
2024-04-18 18:00:00,-0.01798077
2024-04-18 17:00:00,-0.01762423
2024-04-18 16:00:00,-0.0178212
2024-04-18 15:00:00,-0.01778978
2024-04-18 14:00:00,-0.01475338
2024-04-18 13:00:00,-0.01466718
2024-04-18 12:00:00,-0.01449955
2024-04-18 11:00:00,-0.01240413
2024-04-18 10:00:00,-0.0111971
2024-04-18 09:00:00,-0.0104768
2024-04-18 08:00:00,-0.00935693
2024-04-18 07:00:00,-0.0074547
2024-04-18 06:00:00,-0.00652913
2024-04-18 05:00:00,-0.00522693
2024-04-18 04:00:00,-0.00406802
2024-04-18 03:00:00,-0.00414863
2024-04-18 02:00:00,-0.00494843
2024-04-18 01:00:00,-0.00566988
2024-04-18 00:00:00,-0.00454675
2024-04-17 23:00:00,-0.00325947
2024-04-17 22:00:00,-0.00325305
2024-04-17 21:00:00,-0.00311015
2024-04-17 20:00:00,-0.00306002
2024-04-17 19:00:00,-0.00340443
2024-04-17 18:00:00,-0.00226888
2024-04-17 17:00:00,-0.00073965
2024-04-17 16:00:00,-0.00189888
2024-04-17 15:00:00,-0.00275788
2024-04-17 14:00:00,-0.0027256
2024-04-17 13:00:00,-0.00292675
2024-04-17 12:00:00,-0.0027954
2024-04-17 11:00:00,-0.0017038
2024-04-17 10:00:00,-0.00134847
2024-04-17 09:00:00,-0.00131007
2024-04-17 08:00:00,-0.0009372
2024-04-17 07:00:00,-0.00085962
2024-04-17 06:00:00,-0.00076613
2024-04-17 05:00:00,-0.00107018
2024-04-17 04:00:00,-0.000992
2024-04-17 03:00:00,-0.00101197
2024-04-17 02:00:00,-0.00104395
2024-04-17 01:00:00,-0.00116297
2024-04-17 00:00:00,-0.00137547
2024-04-16 23:00:00,-0.00240362
2024-04-16 22:00:00,-0.00481208
2024-04-16 21:00:00,-0.0052342
2024-04-16 20:00:00,-0.00542475
2024-04-16 19:00:00,-0.00555247
2024-04-16 18:00:00,-0.00603343
2024-04-16 17:00:00,-0.00649338
2024-04-16 16:00:00,-0.0065129
2024-04-16 15:00:00,-0.00593343
2024-04-16 14:00:00,-0.00370997
2024-04-16 13:00:00,-0.00333043
2024-04-16 12:00:00,-0.00352043
2024-04-16 11:00:00,-0.00527608
2024-04-16 10:00:00,-0.00725452
2024-04-16 09:00:00,-0.0083979
2024-04-16 08:00:00,-0.00822442
2024-04-16 07:00:00,-0.00779185
2024-04-16 06:00:00,-0.0076601
2024-04-16 05:00:00,-0.00726342
2024-04-16 04:00:00,-0.00716177
2024-04-16 03:00:00,-0.00572057
2024-04-16 02:00:00,-0.00327237
2024-04-16 01:00:00,-0.00179712
2024-04-16 00:00:00,-0.00198173
2024-04-15 23:00:00,-0.00243638
2024-04-15 22:00:00,-0.002843
2024-04-15 21:00:00,-0.00413585
2024-04-15 20:00:00,-0.00368807
2024-04-15 19:00:00,-0.00346755
2024-04-15 18:00:00,-0.00385748
2024-04-15 17:00:00,-0.00383453
2024-04-15 16:00:00,-0.00494253
2024-04-15 15:00:00,-0.00793797
2024-04-15 14:00:00,-0.0085989
2024-04-15 13:00:00,-0.0062257
2024-04-15 12:00:00,-0.00612207
2024-04-15 11:00:00,-0.00588888
2024-04-15 10:00:00,-0.00534697
2024-04-15 09:00:00,-0.00530133
2024-04-15 08:00:00,-0.00530453
2024-04-15 07:00:00,-0.00656168
2024-04-15 06:00:00,-0.006929
2024-04-15 05:00:00,-0.00785508
2024-04-15 04:00:00,-0.00923655
2024-04-15 03:00:00,-0.01062018
2024-04-15 02:00:00,-0.01102798
2024-04-15 01:00:00,-0.01130237
2024-04-15 00:00:00,-0.0109701
2024-04-14 23:00:00,-0.00690447
2024-04-14 22:00:00,-0.00569008
2024-04-14 21:00:00,-0.00549813
2024-04-14 20:00:00,-0.0041604
2024-04-14 19:00:00,-0.00317102
2024-04-14 18:00:00,-0.00338405
2024-04-14 17:00:00,-0.00219713
2024-04-14 16:00:00,-0.00096513
2024-04-14 15:00:00,-0.00052792
2024-04-14 14:00:00,-0.0002389
2024-04-14 13:00:00,-6.665e-05
2024-04-14 12:00:00,-0.00032332
2024-04-14 11:00:00,-0.00075407
2024-04-14 10:00:00,-0.00050693
2024-04-14 09:00:00,-0.00163187
2024-04-14 08:00:00,-0.00246475
2024-04-14 07:00:00,-0.00418872
2024-04-14 06:00:00,-0.00572282
2024-04-14 05:00:00,-0.00696748
2024-04-14 04:00:00,-0.02465505
2024-04-14 03:00:00,-0.04290955
2024-04-14 02:00:00,-0.04301542
2024-04-14 01:00:00,-0.04275142
2024-04-14 00:00:00,-0.04258328
2024-04-13 23:00:00,-0.04089407
2024-04-13 22:00:00,-0.04023033
2024-04-13 21:00:00,-0.04118695
2024-04-13 20:00:00,-0.02289738
2024-04-13 19:00:00,-0.00651297
2024-04-13 18:00:00,-0.00725442
2024-04-13 17:00:00,-0.00846437
2024-04-13 16:00:00,-0.01023427
2024-04-13 15:00:00,-0.01469038
2024-04-13 14:00:00,-0.01793115
2024-04-13 13:00:00,-0.0198513
2024-04-13 12:00:00,-0.02234408
2024-04-13 11:00:00,-0.02393058
2024-04-13 10:00:00,-0.02584463
2024-04-13 09:00:00,-0.02724472
2024-04-13 08:00:00,-0.02809752
2024-04-13 07:00:00,-0.02729563
2024-04-13 06:00:00,-0.02784747
2024-04-13 05:00:00,-0.02884002
2024-04-13 04:00:00,-0.03207842
2024-04-13 03:00:00,-0.03449552
2024-04-13 02:00:00,-0.0361811
2024-04-13 01:00:00,-0.03613947
2024-04-13 00:00:00,-0.03445732
2024-04-12 23:00:00,-0.0309989
2024-04-12 22:00:00,-0.02612523
2024-04-12 21:00:00,-0.02061677
2024-04-12 20:00:00,-0.0132868
2024-04-12 19:00:00,-0.00771755
2024-04-12 18:00:00,-0.00263008
2024-04-12 17:00:00,0.00081427
