datetime,utxo_count
2024-04-26 06:00:00,179852452
2024-04-26 05:00:00,179851249
2024-04-26 04:00:00,179833897
2024-04-26 03:00:00,179820708
2024-04-26 02:00:00,179811932
2024-04-26 01:00:00,179793126
2024-04-26 00:00:00,179753959
2024-04-25 23:00:00,179728506
2024-04-25 22:00:00,179718697
2024-04-25 21:00:00,179663818
2024-04-25 20:00:00,179643442
2024-04-25 19:00:00,179645335
2024-04-25 18:00:00,179646767
2024-04-25 17:00:00,179630514
2024-04-25 16:00:00,179602579
2024-04-25 15:00:00,179593285
2024-04-25 14:00:00,179575936
2024-04-25 13:00:00,179565695
2024-04-25 12:00:00,179552815
2024-04-25 11:00:00,179543052
2024-04-25 10:00:00,179504816
2024-04-25 09:00:00,179479822
2024-04-25 08:00:00,179474550
2024-04-25 07:00:00,179469208
2024-04-25 06:00:00,179467442
2024-04-25 05:00:00,179463219
2024-04-25 04:00:00,179459713
2024-04-25 03:00:00,179438760
2024-04-25 02:00:00,179426542
2024-04-25 01:00:00,179417612
2024-04-25 00:00:00,179396822
2024-04-24 23:00:00,179393699
2024-04-24 22:00:00,179384740
2024-04-24 21:00:00,179370470
2024-04-24 20:00:00,179365154
2024-04-24 19:00:00,179355623
2024-04-24 18:00:00,179344504
2024-04-24 17:00:00,179326934
2024-04-24 16:00:00,179326255
2024-04-24 15:00:00,179318052
2024-04-24 14:00:00,179309972
2024-04-24 13:00:00,179303080
2024-04-24 12:00:00,179285596
2024-04-24 11:00:00,179194822
2024-04-24 10:00:00,179187530
2024-04-24 09:00:00,179177348
2024-04-24 08:00:00,179167896
2024-04-24 07:00:00,179147474
2024-04-24 06:00:00,179118711
2024-04-24 05:00:00,179111530
2024-04-24 04:00:00,179071773
2024-04-24 03:00:00,179060741
2024-04-24 02:00:00,179040462
2024-04-24 01:00:00,179018641
2024-04-24 00:00:00,179007228
2024-04-23 23:00:00,178991915
2024-04-23 22:00:00,178978081
2024-04-23 21:00:00,178953063
2024-04-23 20:00:00,178934993
2024-04-23 19:00:00,178920170
2024-04-23 18:00:00,178899153
2024-04-23 17:00:00,178879303
2024-04-23 16:00:00,178857966
2024-04-23 15:00:00,178837645
2024-04-23 14:00:00,178812576
2024-04-23 13:00:00,178785627
2024-04-23 12:00:00,178771218
2024-04-23 11:00:00,178746540
2024-04-23 10:00:00,178706626
2024-04-23 09:00:00,178689842
2024-04-23 08:00:00,178663200
2024-04-23 07:00:00,178634113
2024-04-23 06:00:00,178612982
2024-04-23 05:00:00,178575685
2024-04-23 04:00:00,178552877
2024-04-23 03:00:00,178532275
2024-04-23 02:00:00,178512510
2024-04-23 01:00:00,178481082
2024-04-23 00:00:00,178438830
2024-04-22 23:00:00,178416841
2024-04-22 22:00:00,178376131
2024-04-22 21:00:00,178358321
2024-04-22 20:00:00,178322818
2024-04-22 19:00:00,178294602
2024-04-22 18:00:00,178278441
2024-04-22 17:00:00,178245934
2024-04-22 16:00:00,178233654
2024-04-22 15:00:00,178211650
2024-04-22 14:00:00,178193878
2024-04-22 13:00:00,178183060
2024-04-22 12:00:00,178148105
2024-04-22 11:00:00,178117901
2024-04-22 10:00:00,178098749
2024-04-22 09:00:00,178082414
2024-04-22 08:00:00,178056436
2024-04-22 07:00:00,178037719
2024-04-22 06:00:00,178022596
2024-04-22 05:00:00,178011925
2024-04-22 04:00:00,178008125
2024-04-22 03:00:00,177983809
2024-04-22 02:00:00,177957396
2024-04-22 01:00:00,177940025
2024-04-22 00:00:00,177931168
2024-04-21 23:00:00,177904648
2024-04-21 22:00:00,177886091
2024-04-21 21:00:00,177878575
2024-04-21 20:00:00,177841043
2024-04-21 19:00:00,177829833
2024-04-21 18:00:00,177808843
2024-04-21 17:00:00,177786465
2024-04-21 16:00:00,177772860
2024-04-21 15:00:00,177747687
2024-04-21 14:00:00,177739450
2024-04-21 13:00:00,177710485
2024-04-21 12:00:00,177676311
2024-04-21 11:00:00,177666948
2024-04-21 10:00:00,177639075
2024-04-21 09:00:00,177612840
2024-04-21 08:00:00,177583228
2024-04-21 07:00:00,177557408
2024-04-21 06:00:00,177546151
2024-04-21 05:00:00,177511137
2024-04-21 04:00:00,177499758
2024-04-21 03:00:00,177480984
2024-04-21 02:00:00,177458903
2024-04-21 01:00:00,177444462
2024-04-21 00:00:00,177415479
2024-04-20 23:00:00,177377329
2024-04-20 22:00:00,177341425
2024-04-20 21:00:00,177302952
2024-04-20 20:00:00,177279812
2024-04-20 19:00:00,177273172
2024-04-20 18:00:00,177247883
2024-04-20 17:00:00,177219538
2024-04-20 16:00:00,177194802
2024-04-20 15:00:00,177176341
2024-04-20 14:00:00,177162941
2024-04-20 13:00:00,177144954
2024-04-20 12:00:00,177121842
2024-04-20 11:00:00,177105089
2024-04-20 10:00:00,177089844
2024-04-20 09:00:00,177076492
2024-04-20 08:00:00,177057886
2024-04-20 07:00:00,177036657
2024-04-20 06:00:00,177013629
2024-04-20 05:00:00,176983505
2024-04-20 04:00:00,176946040
2024-04-20 03:00:00,176935477
2024-04-20 02:00:00,176918960
2024-04-20 01:00:00,176896104
2024-04-20 00:00:00,176861970
2024-04-19 23:00:00,176838524
2024-04-19 22:00:00,176799890
2024-04-19 21:00:00,176773351
2024-04-19 20:00:00,176743402
2024-04-19 19:00:00,176712643
2024-04-19 18:00:00,176679146
2024-04-19 17:00:00,176658046
2024-04-19 16:00:00,176613534
2024-04-19 15:00:00,176587505
2024-04-19 14:00:00,176553628
2024-04-19 13:00:00,176535037
2024-04-19 12:00:00,176507037
2024-04-19 11:00:00,176480848
2024-04-19 10:00:00,176468299
2024-04-19 09:00:00,176450794
2024-04-19 08:00:00,176433330
2024-04-19 07:00:00,176412511
2024-04-19 06:00:00,176400922
2024-04-19 05:00:00,176385898
2024-04-19 04:00:00,176382773
2024-04-19 03:00:00,176362138
2024-04-19 02:00:00,176349130
2024-04-19 01:00:00,176330529
2024-04-19 00:00:00,176336276
2024-04-18 23:00:00,176312787
2024-04-18 22:00:00,176294108
2024-04-18 21:00:00,176271869
2024-04-18 20:00:00,176260987
2024-04-18 19:00:00,176224548
2024-04-18 18:00:00,176190051
2024-04-18 17:00:00,176174440
2024-04-18 16:00:00,176155826
2024-04-18 15:00:00,176134899
2024-04-18 14:00:00,176110642
2024-04-18 13:00:00,176082601
2024-04-18 12:00:00,176061176
2024-04-18 11:00:00,176044721
2024-04-18 10:00:00,176025337
2024-04-18 09:00:00,176004688
2024-04-18 08:00:00,175978503
2024-04-18 07:00:00,175950919
2024-04-18 06:00:00,175941950
2024-04-18 05:00:00,175934307
2024-04-18 04:00:00,175912910
2024-04-18 03:00:00,175876757
2024-04-18 02:00:00,175850627
2024-04-18 01:00:00,175834318
2024-04-18 00:00:00,175812772
2024-04-17 23:00:00,175796063
2024-04-17 22:00:00,175778644
2024-04-17 21:00:00,175760843
2024-04-17 20:00:00,175733044
2024-04-17 19:00:00,175705674
2024-04-17 18:00:00,175673467
2024-04-17 17:00:00,175653633
2024-04-17 16:00:00,175631690
2024-04-17 15:00:00,175609905
