datetime,taker_buy_volume,taker_sell_volume,taker_buy_ratio,taker_sell_ratio,taker_buy_sell_ratio
2024-04-25 01:00:00,153200.0,673400.0,0.18533753,0.81466247,0.22750223
2024-04-25 00:00:00,1768600.0,386800.0,0.82054375,0.17945625,4.57238883
2024-04-24 23:00:00,581400.0,470200.0,0.55287181,0.44712819,1.23649511
2024-04-24 22:00:00,341600.0,488600.0,0.41146712,0.58853288,0.6991404
2024-04-24 21:00:00,269000.0,332400.0,0.44728966,0.55271034,0.80926594
2024-04-24 20:00:00,408800.0,952000.0,0.30041152,0.69958848,0.42941176
2024-04-24 19:00:00,993000.0,1326000.0,0.42820181,0.57179819,0.74886878
2024-04-24 18:00:00,396000.0,1222600.0,0.24465588,0.75534412,0.32389989
2024-04-24 17:00:00,2645200.0,308000.0,0.89570635,0.10429365,8.58831169
2024-04-24 16:00:00,1056200.0,992000.0,0.5156723,0.4843277,1.06471774
2024-04-24 15:00:00,1506800.0,2266800.0,0.3993004,0.6006996,0.6647256
2024-04-24 14:00:00,3984800.0,4829200.0,0.45209893,0.54790107,0.82514702
2024-04-24 13:00:00,653600.0,1080400.0,0.37693195,0.62306805,0.60496113
2024-04-24 12:00:00,322200.0,657600.0,0.32884262,0.67115738,0.4899635
2024-04-24 11:00:00,290000.0,255000.0,0.53211009,0.46788991,1.1372549
2024-04-24 10:00:00,355200.0,344000.0,0.50800915,0.49199085,1.03255814
2024-04-24 09:00:00,243800.0,755200.0,0.24404404,0.75595596,0.32282839
2024-04-24 08:00:00,447000.0,630200.0,0.41496472,0.58503528,0.70929864
2024-04-24 07:00:00,341200.0,397200.0,0.46208017,0.53791983,0.85901309
2024-04-24 06:00:00,362000.0,171400.0,0.67866517,0.32133483,2.11201867
2024-04-24 05:00:00,598400.0,468000.0,0.56114029,0.43885971,1.27863248
2024-04-24 04:00:00,382400.0,262400.0,0.59305211,0.40694789,1.45731707
2024-04-24 03:00:00,331000.0,657000.0,0.33502024,0.66497976,0.50380518
2024-04-24 02:00:00,95400.0,220600.0,0.30189873,0.69810127,0.43245694
2024-04-24 01:00:00,151400.0,480200.0,0.23970868,0.76029132,0.3152853
2024-04-24 00:00:00,248400.0,437400.0,0.36220472,0.63779528,0.56790123
2024-04-23 23:00:00,101600.0,49200.0,0.67374005,0.32625995,2.06504065
2024-04-23 22:00:00,117600.0,76400.0,0.60618557,0.39381443,1.53926702
2024-04-23 21:00:00,169600.0,74400.0,0.69508197,0.30491803,2.27956989
2024-04-23 20:00:00,388800.0,235000.0,0.62327669,0.37672331,1.65446809
2024-04-23 19:00:00,487600.0,275800.0,0.63872151,0.36127849,1.76794779
2024-04-23 18:00:00,68200.0,947600.0,0.0671392,0.9328608,0.0719713
2024-04-23 17:00:00,274000.0,188800.0,0.5920484,0.4079516,1.45127119
2024-04-23 16:00:00,301600.0,485200.0,0.38332486,0.61667514,0.62159934
2024-04-23 15:00:00,625600.0,402000.0,0.6087972,0.3912028,1.55621891
2024-04-23 14:00:00,1067400.0,1175400.0,0.47592295,0.52407705,0.90811639
2024-04-23 13:00:00,625400.0,166000.0,0.79024514,0.20975486,3.76746988
2024-04-23 12:00:00,122800.0,116200.0,0.51380753,0.48619247,1.05679862
2024-04-23 11:00:00,260600.0,321600.0,0.4476125,0.5523875,0.81032338
2024-04-23 10:00:00,59200.0,74600.0,0.44245142,0.55754858,0.79356568
2024-04-23 09:00:00,80800.0,413600.0,0.16343042,0.83656958,0.19535783
2024-04-23 08:00:00,299600.0,185000.0,0.61824185,0.38175815,1.61945946
2024-04-23 07:00:00,187200.0,824400.0,0.18505338,0.81494662,0.22707424
2024-04-23 06:00:00,546000.0,444200.0,0.55140376,0.44859624,1.22917605
2024-04-23 05:00:00,343400.0,472800.0,0.42073021,0.57926979,0.72631134
2024-04-23 04:00:00,233000.0,298400.0,0.43846443,0.56153557,0.7808311
2024-04-23 03:00:00,230000.0,767200.0,0.23064581,0.76935419,0.29979145
2024-04-23 02:00:00,219200.0,485800.0,0.31092199,0.68907801,0.45121449
2024-04-23 01:00:00,429200.0,785800.0,0.35325103,0.64674897,0.54619496
2024-04-23 00:00:00,1011200.0,509000.0,0.66517563,0.33482437,1.98664047
2024-04-22 23:00:00,1044200.0,1089200.0,0.48945345,0.51054655,0.95868527
2024-04-22 22:00:00,2344200.0,741000.0,0.75982108,0.24017892,3.16356275
2024-04-22 21:00:00,346000.0,163800.0,0.67869753,0.32130247,2.11233211
2024-04-22 20:00:00,361000.0,398200.0,0.47550053,0.52449947,0.90657961
2024-04-22 19:00:00,965600.0,496800.0,0.66028446,0.33971554,1.94363929
2024-04-22 18:00:00,664400.0,340000.0,0.66148945,0.33851055,1.95411765
2024-04-22 17:00:00,3059800.0,1466400.0,0.67601962,0.32398038,2.08660666
2024-04-22 16:00:00,1408600.0,673200.0,0.676626,0.323374,2.09239453
2024-04-22 15:00:00,2648400.0,849800.0,0.75707507,0.24292493,3.116498
2024-04-22 14:00:00,887600.0,1207200.0,0.42371587,0.57628413,0.73525514
2024-04-22 13:00:00,863400.0,571800.0,0.60158863,0.39841137,1.50996852
2024-04-22 12:00:00,552000.0,757400.0,0.42156713,0.57843287,0.72880908
2024-04-22 11:00:00,682000.0,754000.0,0.47493036,0.52506964,0.90450928
2024-04-22 10:00:00,594600.0,96800.0,0.85999421,0.14000579,6.14256198
2024-04-22 09:00:00,223800.0,627800.0,0.26279944,0.73720056,0.35648296
2024-04-22 08:00:00,492000.0,645800.0,0.43241343,0.56758657,0.76184577
2024-04-22 07:00:00,1038200.0,549800.0,0.65377834,0.34622166,1.88832303
2024-04-22 06:00:00,1153000.0,1108600.0,0.50981606,0.49018394,1.04005051
2024-04-22 05:00:00,733200.0,1005800.0,0.42162162,0.57837838,0.72897196
2024-04-22 04:00:00,679400.0,1180400.0,0.3653081,0.6346919,0.5755676
2024-04-22 03:00:00,1065600.0,1149600.0,0.48104009,0.51895991,0.92693111
2024-04-22 02:00:00,452000.0,411800.0,0.52326928,0.47673072,1.0976202
2024-04-22 01:00:00,1635200.0,1500400.0,0.52149509,0.47850491,1.08984271
2024-04-22 00:00:00,582400.0,687400.0,0.45865491,0.54134509,0.84725051
2024-04-21 23:00:00,151800.0,375400.0,0.28793627,0.71206373,0.40436867
2024-04-21 22:00:00,1234200.0,328400.0,0.78983745,0.21016255,3.75822168
2024-04-21 21:00:00,743400.0,365400.0,0.67045455,0.32954545,2.03448276
2024-04-21 20:00:00,940400.0,121000.0,0.88599962,0.11400038,7.77190083
2024-04-21 19:00:00,319800.0,584800.0,0.35352642,0.64647358,0.54685363
2024-04-21 18:00:00,283600.0,382400.0,0.42582583,0.57417417,0.7416318
2024-04-21 17:00:00,441800.0,697600.0,0.38774794,0.61225206,0.63331422
2024-04-21 16:00:00,1845400.0,2564400.0,0.41847703,0.58152297,0.71962252
2024-04-21 15:00:00,256000.0,313200.0,0.44975404,0.55024596,0.81736909
2024-04-21 14:00:00,721600.0,357200.0,0.66889136,0.33110864,2.02015677
2024-04-21 13:00:00,327600.0,477000.0,0.40715884,0.59284116,0.68679245
2024-04-21 12:00:00,101400.0,603800.0,0.143789,0.856211,0.1679364
2024-04-21 11:00:00,504400.0,552600.0,0.47719962,0.52280038,0.91277597
2024-04-21 10:00:00,481400.0,256400.0,0.65248035,0.34751965,1.8775351
2024-04-21 09:00:00,173800.0,219600.0,0.44178953,0.55821047,0.79143898
2024-04-21 08:00:00,458000.0,429000.0,0.51634724,0.48365276,1.06759907
2024-04-21 07:00:00,801600.0,492000.0,0.61966605,0.38033395,1.62926829
2024-04-21 06:00:00,80000.0,23000.0,0.77669903,0.22330097,3.47826087
2024-04-21 05:00:00,178600.0,661400.0,0.21261905,0.78738095,0.27003326
2024-04-21 04:00:00,100600.0,316000.0,0.24147864,0.75852136,0.31835443
2024-04-21 03:00:00,1193000.0,857400.0,0.58183769,0.41816231,1.39141591
2024-04-21 02:00:00,590200.0,516600.0,0.53324901,0.46675099,1.14247
2024-04-21 01:00:00,382000.0,577400.0,0.39816552,0.60183448,0.66158642
2024-04-21 00:00:00,308600.0,808600.0,0.27622628,0.72377372,0.38164729
2024-04-20 23:00:00,447200.0,892000.0,0.3339307,0.6660693,0.50134529
2024-04-20 22:00:00,127800.0,798400.0,0.13798316,0.86201684,0.16007014
2024-04-20 21:00:00,613400.0,150800.0,0.80266946,0.19733054,4.06763926
2024-04-20 20:00:00,529400.0,207000.0,0.71890277,0.28109723,2.55748792
2024-04-20 19:00:00,283200.0,336000.0,0.45736434,0.54263566,0.84285714
2024-04-20 18:00:00,896200.0,999200.0,0.47282895,0.52717105,0.89691753
2024-04-20 17:00:00,1720200.0,1565000.0,0.52362109,0.47637891,1.09916933
2024-04-20 16:00:00,1585200.0,345800.0,0.8209218,0.1790782,4.58415269
2024-04-20 15:00:00,1128200.0,689800.0,0.62057206,0.37942794,1.63554654
2024-04-20 14:00:00,76000.0,463000.0,0.14100186,0.85899814,0.16414687
2024-04-20 13:00:00,160800.0,168000.0,0.48905109,0.51094891,0.95714286
2024-04-20 12:00:00,404200.0,300200.0,0.57382169,0.42617831,1.34643571
2024-04-20 11:00:00,99400.0,293600.0,0.25292621,0.74707379,0.33855586
2024-04-20 10:00:00,286800.0,613200.0,0.31866667,0.68133333,0.46771037
2024-04-20 09:00:00,904800.0,284800.0,0.7605918,0.2394082,3.17696629
2024-04-20 08:00:00,408000.0,257800.0,0.61279664,0.38720336,1.58262219
2024-04-20 07:00:00,61200.0,268600.0,0.18556701,0.81443299,0.2278481
2024-04-20 06:00:00,246400.0,1955600.0,0.11189827,0.88810173,0.12599714
2024-04-20 05:00:00,57600.0,437400.0,0.11636364,0.88363636,0.13168724
2024-04-20 04:00:00,825200.0,1010000.0,0.44965126,0.55034874,0.8170297
2024-04-20 03:00:00,2038400.0,314200.0,0.86644563,0.13355437,6.48758752
