datetime,open_interest
2024-04-26 06:00:00,708405287.0422599
2024-04-26 05:00:00,712608922.09724
2024-04-26 04:00:00,705280340.66453
2024-04-26 03:00:00,695325068.12898
2024-04-26 02:00:00,700598037.80328
2024-04-26 01:00:00,695461314.94074
2024-04-26 00:00:00,690266201.8785
2024-04-25 23:00:00,689202440.4151201
2024-04-25 22:00:00,693122468.5977601
2024-04-25 21:00:00,692662743.18812
2024-04-25 20:00:00,707168604.81861
2024-04-25 19:00:00,710613231.16395
2024-04-25 18:00:00,711005786.7894801
2024-04-25 17:00:00,708332687.8942001
2024-04-25 16:00:00,705785029.28854
2024-04-25 15:00:00,704798215.6399801
2024-04-25 14:00:00,694736899.1249001
2024-04-25 13:00:00,693933004.2525
2024-04-25 12:00:00,698255239.39996
2024-04-25 11:00:00,681196558.1104001
2024-04-25 10:00:00,685249423.43715
2024-04-25 09:00:00,691350293.2283201
2024-04-25 08:00:00,707145369.0300001
2024-04-25 07:00:00,706598595.1379701
2024-04-25 06:00:00,704550595.36284
2024-04-25 05:00:00,704590435.7054
2024-04-25 04:00:00,694275462.9498
2024-04-25 03:00:00,694151312.8248
2024-04-25 02:00:00,695129546.46654
2024-04-25 01:00:00,693308281.1584
2024-04-25 00:00:00,694946290.7916
2024-04-24 23:00:00,691837399.5390301
2024-04-24 22:00:00,684907684.8412
2024-04-24 21:00:00,687091939.43245
2024-04-24 20:00:00,685968899.8919001
2024-04-24 19:00:00,709260750.85552
2024-04-24 18:00:00,736926139.3952
2024-04-24 17:00:00,755307872.3806801
2024-04-24 16:00:00,751304019.96888
2024-04-24 15:00:00,767355310.0382401
2024-04-24 14:00:00,737195911.93304
2024-04-24 13:00:00,764160882.4811502
2024-04-24 12:00:00,738326124.3850801
2024-04-24 11:00:00,737318275.3608102
2024-04-24 10:00:00,739609372.9349401
2024-04-24 09:00:00,743099890.3991401
2024-04-24 08:00:00,739302103.4795
2024-04-24 07:00:00,746779850.1154801
2024-04-24 06:00:00,741977747.99764
2024-04-24 05:00:00,739218599.78746
2024-04-24 04:00:00,750387455.24796
2024-04-24 03:00:00,730325078.4316201
2024-04-24 02:00:00,725323055.1913599
2024-04-24 01:00:00,714191602.3839
2024-04-24 00:00:00,709703775.9831301
2024-04-23 23:00:00,705388014.5792
2024-04-23 22:00:00,707699224.1416001
2024-04-23 21:00:00,711893898.9480001
2024-04-23 20:00:00,721302845.7339901
2024-04-23 19:00:00,735024321.70944
2024-04-23 18:00:00,741185884.46201
2024-04-23 17:00:00,742712596.2832
2024-04-23 16:00:00,737980526.7657001
2024-04-23 15:00:00,743098126.82646
2024-04-23 14:00:00,751036938.1362901
2024-04-23 13:00:00,755760338.3058299
2024-04-23 12:00:00,746744752.58822
2024-04-23 11:00:00,747287278.9132001
2024-04-23 10:00:00,749564320.4936999
2024-04-23 09:00:00,751369645.542
2024-04-23 08:00:00,756813554.3583
2024-04-23 07:00:00,762907311.1161001
2024-04-23 06:00:00,765154230.5797101
2024-04-23 05:00:00,774263165.8275
2024-04-23 04:00:00,773826308.2201501
2024-04-23 03:00:00,792191192.99613
2024-04-23 02:00:00,792136470.73297
2024-04-23 01:00:00,791772710.4092001
2024-04-23 00:00:00,797258937.7512
2024-04-22 23:00:00,792882696.4034401
2024-04-22 22:00:00,786455277.31496
2024-04-22 21:00:00,776763128.4758
2024-04-22 20:00:00,777577201.26125
2024-04-22 19:00:00,776091656.18989
2024-04-22 18:00:00,767083727.3671601
2024-04-22 17:00:00,768859803.2811401
2024-04-22 16:00:00,743489959.82976
2024-04-22 15:00:00,751333316.48163
2024-04-22 14:00:00,768064755.24493
2024-04-22 13:00:00,725962140.82166
2024-04-22 12:00:00,734773194.78399
2024-04-22 11:00:00,744854444.6837701
2024-04-22 10:00:00,746221849.27731
2024-04-22 09:00:00,757486669.45448
2024-04-22 08:00:00,749624852.61135
2024-04-22 07:00:00,749466537.3508601
2024-04-22 06:00:00,745679358.7576799
2024-04-22 05:00:00,723523733.25388
2024-04-22 04:00:00,704988171.7242899
2024-04-22 03:00:00,702792717.08105
2024-04-22 02:00:00,662426936.20455
2024-04-22 01:00:00,653935552.51996
2024-04-22 00:00:00,663232610.45952
2024-04-21 23:00:00,664767851.02923
2024-04-21 22:00:00,669627794.37975
2024-04-21 21:00:00,666026958.72698
2024-04-21 20:00:00,675816920.3293201
2024-04-21 19:00:00,673852602.8187699
2024-04-21 18:00:00,680038725.3450601
2024-04-21 17:00:00,672488063.8112
2024-04-21 16:00:00,661545878.455
2024-04-21 15:00:00,665073296.3379201
2024-04-21 14:00:00,664482900.3366
2024-04-21 13:00:00,669631540.8198
2024-04-21 12:00:00,673906972.9206
2024-04-21 11:00:00,684589434.2827201
2024-04-21 10:00:00,679101445.6749
2024-04-21 09:00:00,674968232.91345
2024-04-21 08:00:00,673450613.3618901
2024-04-21 07:00:00,671577639.84765
2024-04-21 06:00:00,671927829.65406
2024-04-21 05:00:00,668020819.63608
2024-04-21 04:00:00,668169312.81408
2024-04-21 03:00:00,672327709.0437601
2024-04-21 02:00:00,665471648.507
2024-04-21 01:00:00,657596166.74685
2024-04-21 00:00:00,646052945.4954
2024-04-20 23:00:00,646657290.0505201
2024-04-20 22:00:00,639486431.5208
2024-04-20 21:00:00,634719301.7921
2024-04-20 20:00:00,632560045.45764
2024-04-20 19:00:00,639150003.01152
2024-04-20 18:00:00,645426632.7244
2024-04-20 17:00:00,660103397.41258
2024-04-20 16:00:00,652728742.926
2024-04-20 15:00:00,647056156.4380801
2024-04-20 14:00:00,640662011.528
2024-04-20 13:00:00,641491021.09578
2024-04-20 12:00:00,631916255.21533
2024-04-20 11:00:00,627537345.1107601
2024-04-20 10:00:00,634613736.2331
2024-04-20 09:00:00,624897972.1477801
2024-04-20 08:00:00,622479702.0204101
2024-04-20 07:00:00,618571828.2168001
2024-04-20 06:00:00,619218832.98752
2024-04-20 05:00:00,616452469.12
2024-04-20 04:00:00,610688544.74525
2024-04-20 03:00:00,603085641.048
2024-04-20 02:00:00,597683908.5399001
2024-04-20 01:00:00,597566484.21894
2024-04-20 00:00:00,602284544.3125
2024-04-19 23:00:00,594554850.12494
2024-04-19 22:00:00,612554673.77839
2024-04-19 21:00:00,614663376.5778501
2024-04-19 20:00:00,616446165.30813
2024-04-19 19:00:00,627600484.35861
2024-04-19 18:00:00,622825841.0941
2024-04-19 17:00:00,635811258.86103
2024-04-19 16:00:00,620864442.8856001
2024-04-19 15:00:00,681137959.5394
2024-04-19 14:00:00,674959890.2924399
2024-04-19 13:00:00,717686929.7133001
2024-04-19 12:00:00,720769534.2831501
2024-04-19 11:00:00,705874626.0543599
2024-04-19 10:00:00,684548281.27048
2024-04-19 09:00:00,677142029.91981
2024-04-19 08:00:00,654803004.4112699
2024-04-19 07:00:00,651228702.58196
2024-04-19 06:00:00,625656114.6866401
2024-04-19 05:00:00,613701502.1166
2024-04-19 04:00:00,609415135.1180099
2024-04-19 03:00:00,622607314.0793
2024-04-19 02:00:00,651723649.98543
2024-04-19 01:00:00,629711055.1659001
2024-04-19 00:00:00,635818946.5752001
2024-04-18 23:00:00,636079500.8068801
2024-04-18 22:00:00,634677502.06532
2024-04-18 21:00:00,625458594.07488
2024-04-18 20:00:00,615801552.74825
2024-04-18 19:00:00,629893568.4488401
2024-04-18 18:00:00,638391247.23936
2024-04-18 17:00:00,651441804.73887
2024-04-18 16:00:00,653562725.91663
2024-04-18 15:00:00,659002281.61075
2024-04-18 14:00:00,658713210.98555
2024-04-18 13:00:00,632543004.6195
2024-04-18 12:00:00,621052918.4153401
2024-04-18 11:00:00,633613729.89201
2024-04-18 10:00:00,630134046.38688
2024-04-18 09:00:00,627919367.42094
2024-04-18 08:00:00,620561583.4778099
2024-04-18 07:00:00,618985780.9553
2024-04-18 06:00:00,621303319.3986001
2024-04-18 05:00:00,642898502.8518801
2024-04-18 04:00:00,638902790.6604
2024-04-18 03:00:00,639032117.21965
2024-04-18 02:00:00,620451967.7503201
2024-04-18 01:00:00,625184274.6774601
2024-04-18 00:00:00,624381763.0531
2024-04-17 23:00:00,623054590.6252
2024-04-17 22:00:00,633608907.6015401
2024-04-17 21:00:00,626203410.531
2024-04-17 20:00:00,620932974.38109
2024-04-17 19:00:00,619103118.5621101
2024-04-17 18:00:00,621693155.48354
2024-04-17 17:00:00,639663786.3985001
2024-04-17 16:00:00,641219025.738
2024-04-17 15:00:00,654267147.81648
2024-04-17 14:00:00,647430120.1176
2024-04-17 13:00:00,655881280.10416
2024-04-17 12:00:00,660462255.75176
2024-04-17 11:00:00,661982954.997
2024-04-17 10:00:00,648316490.94944
2024-04-17 09:00:00,647602964.33472
2024-04-17 08:00:00,644635066.9638
2024-04-17 07:00:00,646327390.8275101
2024-04-17 06:00:00,645567829.5943
2024-04-17 05:00:00,638249731.2919999
2024-04-17 04:00:00,652011883.2732401
