datetime,velocity_supply_total
2024-04-26 07:00:00,15.71048392
2024-04-26 06:00:00,15.71089053
2024-04-26 05:00:00,15.70920682
2024-04-26 04:00:00,15.70958547
2024-04-26 03:00:00,15.70890303
2024-04-26 02:00:00,15.70770761
2024-04-26 01:00:00,15.70791266
2024-04-26 00:00:00,15.70864394
2024-04-25 23:00:00,15.7096418
2024-04-25 22:00:00,15.70994804
2024-04-25 21:00:00,15.71034807
2024-04-25 20:00:00,15.71169316
2024-04-25 19:00:00,15.71392428
2024-04-25 18:00:00,15.71420296
2024-04-25 17:00:00,15.71718137
2024-04-25 16:00:00,15.71790776
2024-04-25 15:00:00,15.7192104
2024-04-25 14:00:00,15.71907483
2024-04-25 13:00:00,15.71966803
2024-04-25 12:00:00,15.72000537
2024-04-25 11:00:00,15.72003718
2024-04-25 10:00:00,15.72024353
2024-04-25 09:00:00,15.7196344
2024-04-25 08:00:00,15.71954317
2024-04-25 07:00:00,15.7193962
2024-04-25 06:00:00,15.71897698
2024-04-25 05:00:00,15.71903192
2024-04-25 04:00:00,15.71996926
2024-04-25 03:00:00,15.72095813
2024-04-25 02:00:00,15.72117492
2024-04-25 01:00:00,15.72190965
2024-04-25 00:00:00,15.72436248
2024-04-24 23:00:00,15.72243596
2024-04-24 22:00:00,15.72178372
2024-04-24 21:00:00,15.72195155
2024-04-24 20:00:00,15.7219798
2024-04-24 19:00:00,15.72116377
2024-04-24 18:00:00,15.72201483
2024-04-24 17:00:00,15.71986825
2024-04-24 16:00:00,15.71996691
2024-04-24 15:00:00,15.72103227
2024-04-24 14:00:00,15.72119805
2024-04-24 13:00:00,15.72210794
2024-04-24 12:00:00,15.72095338
2024-04-24 11:00:00,15.721359
2024-04-24 10:00:00,15.72196448
2024-04-24 09:00:00,15.72288682
2024-04-24 08:00:00,15.72086287
2024-04-24 07:00:00,15.72073565
2024-04-24 06:00:00,15.72075922
2024-04-24 05:00:00,15.72041901
2024-04-24 04:00:00,15.72162148
2024-04-24 03:00:00,15.72177959
2024-04-24 02:00:00,15.72192227
2024-04-24 01:00:00,15.72290764
2024-04-24 00:00:00,15.72293227
2024-04-23 23:00:00,15.72291457
2024-04-23 22:00:00,15.72239453
2024-04-23 21:00:00,15.72066001
2024-04-23 20:00:00,15.72138783
2024-04-23 19:00:00,15.7214804
2024-04-23 18:00:00,15.72210654
2024-04-23 17:00:00,15.72252225
2024-04-23 16:00:00,15.72322968
2024-04-23 15:00:00,15.72393379
