datetime,long_liquidations,short_liquidations,long_liquidations_usd,short_liquidations_usd
2024-04-26 11:00:00,0.00897352,0.052,572.7591,3347.15338
2024-04-26 10:00:00,9.02948459,0.015,577355.85989,970.12692
2024-04-26 09:00:00,0.646,1.5304786300000002,41461.23896,98975.62471
2024-04-26 08:00:00,0.483,0.261,30903.30038,16855.20633
2024-04-26 07:00:00,2.36038268,3.9300566,151151.38884,253858.89276
2024-04-26 06:00:00,0.803,1.656,51434.51531,106931.54104
2024-04-26 05:00:00,1.79716318,5.21649,114902.59095,337367.12807
2024-04-26 04:00:00,6.5772078,0.146,420718.03779,9419.6543
2024-04-26 03:00:00,0.71,0.2435,45484.20433,15682.76464
2024-04-26 02:00:00,0.7182999999999999,0.3742999999999999,46046.29772,24237.91622
2024-04-26 01:00:00,46.26501903,20.27041589,2956211.03287,1310522.26984
2024-04-26 00:00:00,23.31386435,0.295,1493093.7482480502,19047.94509
2024-04-25 23:00:00,2.80510602,0.047,180289.39899,3048.7614
2024-04-25 22:00:00,2.47585818,0.016,159458.28031,1038.61451
2024-04-25 21:00:00,5.92193404,44.13618851,382194.86609,2880798.36347
2024-04-25 20:00:00,1.58562372,37.09866767999999,102040.55585,2418479.99422
2024-04-25 19:00:00,0.037,1.507,2381.8594,97919.50097
2024-04-25 18:00:00,4.56259567,44.68175664999998,293521.96728,2912360.95768
2024-04-25 17:00:00,3.852927610000001,30.37993741,247726.63477,1968908.44313
2024-04-25 16:00:00,0.96971704,21.09796071,61997.41496,1360194.72905
2024-04-25 15:00:00,0.8318,72.66914714,52849.47245000001,4657054.20122358
2024-04-25 14:00:00,23.478332790000003,23.42796176,1482945.02706,1496209.39915
2024-04-25 13:00:00,108.79325411,21.592483,6850212.29848,1372990.80066062
2024-04-25 12:00:00,32.65108046,27.5725924,2068711.31686,1772084.56456
2024-04-25 11:00:00,0.212,19.25088983,13444.59314,1233133.1292500002
2024-04-25 10:00:00,221.18504366,0.476,13943982.160610002,30447.071040000003
2024-04-25 09:00:00,3.3988459600000005,7.3229,215925.16641000003,470758.89522
2024-04-25 08:00:00,12.76612554,0.4284,811685.18688,27494.776679999995
2024-04-25 07:00:00,24.380914890000003,0.052,1555039.80281,3342.7956
2024-04-25 06:00:00,0.2029999999999999,0.29,12995.12673,18722.423
2024-04-25 05:00:00,1.2925412400000005,1.126,82648.80215,72652.06083
2024-04-25 04:00:00,4.703633229999999,4.25496253,301042.76089,272908.00958
2024-04-25 03:00:00,1.164,1.2578825299999998,74411.51458999999,81240.88739
2024-04-25 02:00:00,8.5700916,3.0380000000000003,545969.86654,195792.71584
2024-04-25 01:00:00,13.16741821,0.483,842144.2140400001,31176.46331
2024-04-25 00:00:00,0.04,18.76689162,2572.4080000000004,1215129.30961
2024-04-24 23:00:00,17.431132599999998,4.25820976,1111906.08765,274282.6131
