datetime,long_liquidations,short_liquidations,long_liquidations_usd,short_liquidations_usd
2024-04-26 08:00:00,0.0,0.0,0.0,0.0
2024-04-26 07:00:00,0.0,0.0,0.0,0.0
2024-04-26 06:00:00,0.0,0.0,0.0,0.0
2024-04-26 05:00:00,0.0,0.0,0.0,0.0
2024-04-26 04:00:00,0.0,0.0,0.0,0.0
2024-04-26 03:00:00,0.0,0.0,0.0,0.0
2024-04-26 02:00:00,0.0,0.0,0.0,0.0
2024-04-26 01:00:00,0.0,0.0,0.0,0.0
2024-04-26 00:00:00,0.04427236,0.0,2838.0,0.0
2024-04-25 23:00:00,0.0,0.0,0.0,0.0
2024-04-25 22:00:00,0.0,0.0,0.0,0.0
2024-04-25 21:00:00,0.0,0.15700229,0.0,10226.0
2024-04-25 20:00:00,0.0,0.0,0.0,0.0
2024-04-25 19:00:00,0.0,0.0,0.0,0.0
2024-04-25 18:00:00,0.0,0.0,0.0,0.0
2024-04-25 17:00:00,0.0,0.0,0.0,0.0
2024-04-25 16:00:00,0.0,0.0,0.0,0.0
2024-04-25 15:00:00,0.0,0.0,0.0,0.0
2024-04-25 14:00:00,0.0,0.0,0.0,0.0
2024-04-25 13:00:00,0.1688524,0.0,10613.0,0.0
2024-04-25 12:00:00,0.0,0.0,0.0,0.0
2024-04-25 11:00:00,0.0,0.0,0.0,0.0
2024-04-25 10:00:00,0.05209575,0.0,3300.0,0.0
2024-04-25 09:00:00,0.0,0.0,0.0,0.0
2024-04-25 08:00:00,0.0,0.0,0.0,0.0
2024-04-25 07:00:00,0.0,0.0,0.0,0.0
2024-04-25 06:00:00,0.0,0.0,0.0,0.0
2024-04-25 05:00:00,0.0,0.0,0.0,0.0
2024-04-25 04:00:00,0.0,0.0,0.0,0.0
2024-04-25 03:00:00,0.0,0.0,0.0,0.0
2024-04-25 02:00:00,0.0,0.0,0.0,0.0
2024-04-25 01:00:00,0.0,0.0,0.0,0.0
2024-04-25 00:00:00,0.0,0.0,0.0,0.0
2024-04-24 23:00:00,0.0,0.0,0.0,0.0
2024-04-24 22:00:00,0.0,0.0,0.0,0.0
2024-04-24 21:00:00,0.0,0.0,0.0,0.0
2024-04-24 20:00:00,5.10378847,0.0,324567.0,0.0
