datetime,block_interval
2024-04-26 10:00:00,412.375
2024-04-26 09:00:00,741.85714286
2024-04-26 08:00:00,1006.66666667
2024-04-26 07:00:00,1413.66666667
2024-04-26 06:00:00,501.0
2024-04-26 05:00:00,658.0
2024-04-26 04:00:00,697.33333333
2024-04-26 03:00:00,895.0
2024-04-26 02:00:00,990.5
2024-04-26 01:00:00,515.5
2024-04-26 00:00:00,1487.8
2024-04-25 23:00:00,
2024-04-25 22:00:00,516.83333333
2024-04-25 21:00:00,441.0
2024-04-25 20:00:00,286.57142857
2024-04-25 19:00:00,441.0
2024-04-25 18:00:00,386.1
2024-04-25 17:00:00,788.0
2024-04-25 16:00:00,1869.5
2024-04-25 15:00:00,846.75
2024-04-25 14:00:00,2141.0
2024-04-25 13:00:00,743.33333333
2024-04-25 12:00:00,434.2
2024-04-25 11:00:00,448.375
2024-04-25 10:00:00,403.5
2024-04-25 09:00:00,627.0
2024-04-25 08:00:00,694.83333333
2024-04-25 07:00:00,423.71428571
2024-04-25 06:00:00,535.83333333
2024-04-25 05:00:00,475.5
2024-04-25 04:00:00,1024.5
2024-04-25 03:00:00,701.0
2024-04-25 02:00:00,637.66666667
2024-04-25 01:00:00,1181.2
2024-04-25 00:00:00,418.0
2024-04-24 23:00:00,545.625
2024-04-24 22:00:00,362.0
2024-04-24 21:00:00,269.4
2024-04-24 20:00:00,301.2
2024-04-24 19:00:00,572.71428571
2024-04-24 18:00:00,1023.66666667
2024-04-24 17:00:00,362.0
2024-04-24 16:00:00,749.6
2024-04-24 15:00:00,377.0
2024-04-24 14:00:00,428.22222222
2024-04-24 13:00:00,598.57142857
2024-04-24 12:00:00,476.14285714
2024-04-24 11:00:00,662.8
2024-04-24 10:00:00,720.5
2024-04-24 09:00:00,665.75
2024-04-24 08:00:00,430.88888889
2024-04-24 07:00:00,617.6
2024-04-24 06:00:00,395.5
2024-04-24 05:00:00,595.0
2024-04-24 04:00:00,1008.5
2024-04-24 03:00:00,493.83333333
2024-04-24 02:00:00,1132.8
2024-04-24 01:00:00,411.66666667
2024-04-24 00:00:00,1722.5
2024-04-23 23:00:00,1398.0
2024-04-23 22:00:00,500.25
2024-04-23 21:00:00,574.4
2024-04-23 20:00:00,924.0
2024-04-23 19:00:00,607.33333333
2024-04-23 18:00:00,496.71428571
2024-04-23 17:00:00,708.83333333
2024-04-23 16:00:00,441.25
2024-04-23 15:00:00,427.125
2024-04-23 14:00:00,560.11111111
2024-04-23 13:00:00,727.66666667
2024-04-23 12:00:00,495.14285714
2024-04-23 11:00:00,254.53846154
2024-04-23 10:00:00,708.2
2024-04-23 09:00:00,546.42857143
2024-04-23 08:00:00,472.875
2024-04-23 07:00:00,520.14285714
2024-04-23 06:00:00,239.0
2024-04-23 05:00:00,1581.66666667
2024-04-23 04:00:00,380.85714286
2024-04-23 03:00:00,759.0
2024-04-23 02:00:00,396.22222222
2024-04-23 01:00:00,462.3
2024-04-23 00:00:00,371.5
2024-04-22 23:00:00,370.7
